FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Housing Units:,Housing Units: Occupied,Housing Units: Vacant,Vacant Housing Units:,Vacant Housing Units: for Rent,Vacant Housing Units: for Sale Only,Vacant Housing Units: Other Vacant,Occupied Housing Units,Occupied Housing Units: Built 2014 or Later,Occupied Housing Units: Built 2010 to 2013,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Gross Rent
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,SE_A18009_001
4.2101E+11,"Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16420,,,,,42,101,,,,100,1,15000US421010001001,,,245682,0,1268,1172,96,96,83,0,13,1172,13,0,146,43,128,38,51,31,27,695,1677
4.2101E+11,"Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16421,,,,,42,101,,,,100,2,15000US421010001002,,,459227,0,1410,1195,215,215,0,0,215,1195,0,13,233,27,66,81,0,0,28,747,1791
4.2101E+11,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16422,,,,,42,101,,,,200,1,15000US421010002001,,,382478,0,1128,1010,118,118,33,76,9,1010,0,47,68,93,221,142,42,54,18,325,1122
4.2101E+11,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16423,,,,,42,101,,,,300,1,15000US421010003001,,,322876,0,490,458,32,32,32,0,0,458,0,0,0,30,0,24,18,18,40,328,2116
4.2101E+11,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16424,,,,,42,101,,,,300,2,15000US421010003002,,,225466,356,1467,1347,120,120,70,0,50,1347,0,12,161,29,288,113,104,53,35,552,1553
4.2101E+11,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16425,,,,,42,101,,,,401,1,15000US421010004011,,,214766,14981,1986,1690,296,296,200,9,87,1690,23,99,381,61,64,125,273,145,41,478,1435
4.2101E+11,"Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16426,,,,,42,101,,,,402,1,15000US421010004021,,,42012,0,1184,1060,124,124,0,0,124,1060,116,78,15,14,30,56,519,117,87,28,1689
4.2101E+11,"Block Group 2, Census Tract 4.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 4.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16427,,,,,42,101,,,,402,2,15000US421010004022,,,261668,0,1839,1423,416,416,175,93,148,1423,17,0,133,29,88,173,669,66,0,248,1793
4.2101E+11,"Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16428,,,,,42,101,,,,500,1,15000US421010005001,,,428783,0,997,933,64,64,24,0,40,933,5,58,57,20,13,54,26,21,74,605,1497
4.2101E+11,"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16429,,,,,42,101,,,,600,1,15000US421010006001,,,172655,0,805,674,131,131,82,5,44,674,6,0,23,8,6,33,4,23,44,527,1749
4.2101E+11,"Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16430,,,,,42,101,,,,700,1,15000US421010007001,,,40106,0,785,648,137,137,38,36,63,648,0,162,31,14,0,21,31,215,11,163,1583
4.2101E+11,"Block Group 2, Census Tract 7, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 7, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16431,,,,,42,101,,,,700,2,15000US421010007002,,,140491,0,1403,1184,219,219,55,0,164,1184,0,87,75,58,6,13,51,13,43,838,1722
4.2101E+11,"Block Group 3, Census Tract 7, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 7, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16432,,,,,42,101,,,,700,3,15000US421010007003,,,66085,7087,638,597,41,41,0,0,41,597,0,0,14,30,141,148,72,7,0,185,1759
4.2101E+11,"Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16433,,,,,42,101,,,,801,1,15000US421010008011,,,99958,12755,997,797,200,200,20,39,141,797,0,0,0,69,44,45,30,18,48,543,1955
4.2101E+11,"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16434,,,,,42,101,,,,803,1,15000US421010008031,,,36421,0,505,505,0,0,0,0,0,505,0,0,0,0,0,110,9,9,0,377,1308
4.2101E+11,"Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16435,,,,,42,101,,,,803,2,15000US421010008032,,,43981,0,637,588,49,49,0,0,49,588,0,0,0,26,90,29,20,27,7,389,1662
4.2101E+11,"Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16436,,,,,42,101,,,,803,3,15000US421010008033,,,55663,0,732,521,211,211,52,0,159,521,0,0,0,0,0,58,14,90,36,323,1405
4.2101E+11,"Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16437,,,,,42,101,,,,803,4,15000US421010008034,,,16755,0,264,223,41,41,0,0,41,223,0,0,0,0,100,0,13,38,36,36,1212
4.2101E+11,"Block Group 1, Census Tract 8.04, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 8.04, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16438,,,,,42,101,,,,804,1,15000US421010008041,,,72244,0,1925,1482,443,443,248,41,154,1482,0,15,27,44,27,169,358,232,44,566,1775
4.2101E+11,"Block Group 2, Census Tract 8.04, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 8.04, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16439,,,,,42,101,,,,804,2,15000US421010008042,,,30139,0,713,612,101,101,86,0,15,612,0,0,14,0,30,428,0,0,15,125,1712
4.2101E+11,"Block Group 3, Census Tract 8.04, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 8.04, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16440,,,,,42,101,,,,804,3,15000US421010008043,,,43070,0,991,991,0,0,0,0,0,991,0,0,17,0,57,447,15,55,14,386,2170
4.2101E+11,"Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16441,,,,,42,101,,,,901,1,15000US421010009011,,,54303,0,818,708,110,110,57,0,53,708,26,9,29,58,63,41,51,35,24,372,1232
